ecr3_id,intact,elevdiv,fwvelref,bwvelref,brdref,treref,treec,soilc
145,0.0435,1.8252,1.119,0.5926,0.1975,0.0486,0,0
146,0.0975,8.1238,1.2737,0.6758,0.1657,0.0153,0,0
147,0.0107,15.6199,0.8391,0.418,0.194,0.1949,0,0
148,0.1019,32.4898,0.88,0.4881,0.2072,0.2047,0,0
149,0.0513,4.0248,1.1601,0.5579,0.1942,0.1713,0,0
150,0.1345,32.5301,0.4447,0.001,0.218,0.2169,0,0
151,0.0664,10.1989,0.862,0.7916,0.1918,0.181,0,0
152,0.1222,19.809,0.8894,0.9296,0.2097,0.1764,0,0
153,0.0884,11.5398,0.912,0.8835,0.2189,0.1305,0,0
154,0.1005,18.3309,0.9011,0.753,0.2305,0.1633,0,0
155,0.1203,21.1292,1.3095,0.3525,0.2277,0.2612,0,0
156,0.0148,0.0195,0.0014,0.001,0.0446,0.2352,0,0
157,0.0301,0,0.0014,0.001,0.0915,0.0782,0,0
158,0.0206,0.2927,0.0014,0.001,0.1205,0.0733,0,0
159,0.0185,1.2177,0.0014,0.001,0.0405,0.2157,0,0
160,0.0326,0.6227,0.5938,0.7809,0.1377,0.025,0,0
161,0.0285,0,0.9454,0.778,0.1826,0.0467,0,0
162,0.0214,4.1378,0.8475,0.7882,0.1481,0.0804,0,0
163,0.0489,5.6832,0.823,0.8169,0.1486,0.1459,0,0
164,0.0316,1.8656,0.0014,0.6915,0.1177,0.0251,0,0
165,0.0498,18.006,0.0014,0.6105,0.125,0.0388,0,0
166,0.2721,8.9438,1.2185,0.8765,0.1472,0.0526,0,0
167,0.0253,6.0818,1.1866,0.7431,0.167,0,0,0
168,0.026,8.4206,1.1167,0.8469,0.1484,0,0,0
169,0.0774,14.6736,1.2498,0.8644,0.1666,04,0,0
170,0.1021,11.9391,0.9263,0.9498,0.1745,0.1252,0,0
171,0.0333,10.9789,0.8237,0.8766,0.1986,0.0026,0,0
172,0.0449,10.6726,1.1157,0.8646,0.1913,0,0,0
173,0.0164,11.209,1.2436,0.7534,0.1789,0.0103,0,0
174,0.0064,0,0.0014,0.001,0,0.0327,0,0
175,0.0234,9.964,1.0369,0.687,0,0.0016,0,0
176,0.0279,4.0634,0.0014,0.001,0.1438,0.0945,0,0
177,0.03,8.5688,1.1196,0.6843,0.173,0.1281,0,0
178,0.0153,2.1226,0.0014,0.001,0.1483,0.1636,0,0
179,0.012,0.2782,0.0014,0.001,0.1525,0.1433,0,0
180,0.0907,0.2782,0.0014,0.001,0.1352,0.0816,0,0
181,0.2609,69.5966,0.6795,0.001,0.1438,0.0742,0,0
182,0.187,26.6085,0.0014,0.3078,0.228,0.1149,0,0
